assessment_name,url,description,tags,test_type
SHL Talent Intelligence Solutions,https://www.shl.com/solutions/,"Whatever role you are hiring for, you can maximize your people’s potential with SHL's Talent Acquisition and Talent Management solutions.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|talent acquisition solution|talent management decisions,K
Get the Skills Intelligence You Need for a Robust Talent Acquisition Strategy,https://www.shl.com/solutions/talent-acquisition/,Use talent data to build a future-proof your talent acquisition. Partner with SHL to build a talent strategy that predicting performance and ensuring success.,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
Hire Early Career Talent with Skills for the Future,https://www.shl.com/solutions/talent-acquisition/graduate/,"Elevate your graduate hiring with a skills-based approach and invest in the right early career talent for the future, with SHL.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|structured interviewing|live interviews|targeted development|mobility,K
45 Billion Data Points to Support Your Manager Recruitment,https://www.shl.com/solutions/talent-acquisition/manager/,Get access to the most up-to-date manager hiring criteria and tools to identify exceptional people managers.,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
Smart Interview Professional,https://www.shl.com/solutions/talent-acquisition/interviewing/,A science-backed structured interview transforms hiring outcomes. Revolutionize interviewing with smart interview technology.,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
"Technical hiring that is fast, fair, and accurate.",https://www.shl.com/solutions/talent-acquisition/tech-hiring/,"Choose SHL for technical interviews and assessments for hiring software developers. A process that is fast, fair, and accurate. Get ahead of the competition.<br />
<br />",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
Professional Recruitment: Future-Proof with a Skills-Based Approach,https://www.shl.com/solutions/talent-acquisition/professional/,"Hiring professionals? Measure job-critical skills, future potential, and culture fit with SHL’s solution for experienced hires.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|Smart Interview Professional Solution,K&P
High Volume Hiring: Measure the Skills that Matter,https://www.shl.com/solutions/talent-acquisition/volume-hiring/,Focus on the skills that matter for your high volume hiring. Fill your talent pools with a workforce that can flex alongside business priorities.,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
Automate your BPO recruitment to secure top-quality talent – fast,https://www.shl.com/solutions/talent-acquisition/volume-hiring/bpo-hiring/,"Boost your BPO recruitment with SHL’s proven, powerful contact center assessments and simulations, and quickly find high-performing agents at scale.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|Volume Hiring Solution,K
Talent Management,https://www.shl.com/solutions/talent-management/,"Connected Talent Management insights for development, succession & mobility. Build stronger leadership pipelines through strategic workforce planning.",Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar|Leaders|Managers|Talent|high-potential|enterprise leaders|successions|Middle managers|hiring|identify high-potential talent|sales transformation|internal mobility|high-potential identification|succession planning|manager development,K
Improve the Success​ of Succession Planning,https://www.shl.com/solutions/talent-management/succession-planning/,Succession Planning through data-driven insights. Bring agility to your leadership pipeline with real-time talent data.,Solutions|Talent Acquisition|Graduate & Early Careers|Manager Hiring|Interviewing|Technology Hiring|Professional Hiring|Volume Hiring|BPO Hiring|Contact Center Hiring|Retail Hiring|Talent Management|Succession Planning|Enterprise Leader Development|High Potential Identification|Manager Development|Skills Development|Sales Transformation|Talent Mobility|Services|Managed Services|Training Services|SHL Certification (OPQ/Verify)|Training Calendar,K
