assessment_name,url,description,tags,test_type,norm_name,norm_description,norm_tags
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,".NET Framework 4.5: The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application…",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,.net framework 4.5,".net framework 4.5: the.net framework 4.5 test measures knowledge of .net environment. designed for experienced users, this test covers the following topics: application…",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,".NET MVC (New): Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,.net mvc (new),".net mvc (new): multi-choice test that measures the knowledge of model-view-controller (mvc) architecture, validation, security, routing, and areas.",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,".NET MVVM (New): Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K&P,.net mvvm (new),".net mvvm (new): multi-choice test that measures the knowledge of mvvm pattern, scenarios, data validation, viewmodel communication and quick-start.",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,".NET WCF (New): Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,.net wcf (new),".net wcf (new): multi-choice test that measures the knowledge of .net fundamentals, wcf architecture, programming model, soa, managing and programming wcf.",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,".NET WPF (New): Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF…",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,.net wpf (new),".net wpf (new): multi-choice test that measures the knowledge of .net basics, wpf, xaml controls, events, layouts, working with wpf windows/menus and deploying wpf…",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,".NET XAML (New): Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,.net xaml (new),".net xaml (new): multi-choice test that measures the knowledge of xaml triggers, data binding, custom controls and layouts.",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
360 Digital Report,https://www.shl.com/products/product-catalog/view/360-digital-report/,"360 Digital Report: Introducing the new 360 Digital Report from SHL! Our latest offering revolutionizes the reporting experience for our 360 products, catering to the modern…",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,360 digital report,"360 digital report: introducing the new 360 digital report from shl! our latest offering revolutionizes the reporting experience for our 360 products, catering to the modern…",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
360° Multi-Rater Feedback System (MFS),https://www.shl.com/products/product-catalog/view/360-multi-rater-feedback-system-mfs/,"360° Multi-Rater Feedback System (MFS): SHL 360, or the Multi-Rater Feedback System (‘MFS’), provides a holistic 360-degree view of an employee by gathering feedback from the employee’s manager…",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,360° multi-rater feedback system (mfs),"360° multi-rater feedback system (mfs): shl 360, or the multi-rater feedback system (‘mfs’), provides a holistic 360-degree view of an employee by gathering feedback from the employee’s manager…",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
45 Billion Data Points to Support Your Manager Recruitment,https://www.shl.com/solutions/talent-acquisition/manager/,Get access to the most up-to-date manager hiring criteria and tools to identify exceptional people managers.,BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,45 billion data points to support your manager recruitment,get access to the most up-to-date manager hiring criteria and tools to identify exceptional people managers.,solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,"ADO.NET (New): Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",BPO Hiring|Contact Center Hiring|Enterprise Leader Development|Graduate & Early Careers|High Potential Identification|Interviewing|Managed Services|Manager Development|Manager Hiring|Professional Hiring|Retail Hiring|SHL Certification (OPQ/Verify)|Sales Transformation|Services|Skills Development|Solutions|Succession Planning|Talent Acquisition|Talent Management|Talent Mobility|Technology Hiring|Training Calendar|Training Services|Volume Hiring,K,ado.net (new),"ado.net (new): multi-choice test that measures the knowledge on the concepts of ado.net architecture, components and data provider objects.",solutions|talent acquisition|graduate & early careers|manager hiring|interviewing|technology hiring|professional hiring|volume hiring|bpo hiring|contact center hiring|retail hiring|talent management|succession planning|enterprise leader development|high potential identification|manager development|skills development|sales transformation|talent mobility|services|managed services|training services|shl certification (opq/verify)|training calendar
